"analysis","repeat_id","metric","estimate"
"volume_exploratory",9,"calibration_slope",0.897181612721835
"volume_exploratory",10,"auc",0.811638017909073
"volume_exploratory",10,"brier",0.172954226257217
"volume_exploratory",10,"log_loss",0.520162189042118
"volume_exploratory",10,"calibration_intercept",-0.0117631481773425
"volume_exploratory",10,"calibration_slope",0.886936683370592
"volume_exploratory",11,"auc",0.810169589127869
"volume_exploratory",11,"brier",0.173284040519275
"volume_exploratory",11,"log_loss",0.521208007710717
"volume_exploratory",11,"calibration_intercept",-0.00086814203247019
"volume_exploratory",11,"calibration_slope",0.884379467874736
"volume_exploratory",12,"auc",0.815755377040684
"volume_exploratory",12,"brier",0.170498680643033
"volume_exploratory",12,"log_loss",0.514308170671288
"volume_exploratory",12,"calibration_intercept",-0.00284974574723932
"volume_exploratory",12,"calibration_slope",0.912905558901463
"volume_exploratory",13,"auc",0.813221617575077
"volume_exploratory",13,"brier",0.171184253733599
"volume_exploratory",13,"log_loss",0.515967487977654
"volume_exploratory",13,"calibration_intercept",-0.00179396375381805
"volume_exploratory",13,"calibration_slope",0.915058435033738
"volume_exploratory",14,"auc",0.811090956206271
"volume_exploratory",14,"brier",0.172623015045102
"volume_exploratory",14,"log_loss",0.520687836363497
"volume_exploratory",14,"calibration_intercept",0.000558619330788962
"volume_exploratory",14,"calibration_slope",0.87971645439821
"volume_exploratory",15,"auc",0.814632460913881
"volume_exploratory",15,"brier",0.17189276481103
"volume_exploratory",15,"log_loss",0.516769243231077
"volume_exploratory",15,"calibration_intercept",-0.00542104739180225
"volume_exploratory",15,"calibration_slope",0.894823020281531
"volume_exploratory",16,"auc",0.813279203017477
"volume_exploratory",16,"brier",0.171746036337266
"volume_exploratory",16,"log_loss",0.518120782139344
"volume_exploratory",16,"calibration_intercept",-0.00268176732789579
"volume_exploratory",16,"calibration_slope",0.897522500401919
"volume_exploratory",17,"auc",0.816100889695085
"volume_exploratory",17,"brier",0.169979126539413
"volume_exploratory",17,"log_loss",0.51240990338575
"volume_exploratory",17,"calibration_intercept",-0.0106549936260451
"volume_exploratory",17,"calibration_slope",0.910816502653554
"volume_exploratory",18,"auc",0.814834009962282
"volume_exploratory",18,"brier",0.170588005793633
"volume_exploratory",18,"log_loss",0.515980153653707
"volume_exploratory",18,"calibration_intercept",0.00380535580353224
"volume_exploratory",18,"calibration_slope",0.900653693316683
"volume_exploratory",19,"auc",0.805764302784256
"volume_exploratory",19,"brier",0.17510389983885
"volume_exploratory",19,"log_loss",0.526850816387595
"volume_exploratory",19,"calibration_intercept",-0.000486977466209644
"volume_exploratory",19,"calibration_slope",0.856460390244597
"volume_exploratory",20,"auc",0.808989087558665
"volume_exploratory",20,"brier",0.173373264633681
"volume_exploratory",20,"log_loss",0.523987096366675
"volume_exploratory",20,"calibration_intercept",-0.00453749642638669
"volume_exploratory",20,"calibration_slope",0.862285585538141
